id,topic_id,timestamp,data
56,1,1747504340526348430,"b'\x00\x01\x00\x00U\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
57,1,1747504340526632246,"b'\x00\x01\x00\x00\\\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: 6 9 10 \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00'"
58,1,1747504340526944010,"b'\x00\x01\x00\x00a\x00\x00\x00[GNGSA] Mode: A, Fix Type: 3, Used Satellites: 14 21 26 33 \n  PDOP: 3.01, HDOP: 1.33, VDOP: 2.70\x00\x00\x00\x00'"
59,1,1747504340527087092,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000031.99, RMS: 0.00, \xcf\x83_lat: 1.25 m, \xcf\x83_lon: 1.25 m, \xcf\x83_alt: 84.73 m\x00\x00'"
60,1,1747504340527421567,"b'\x00\x01\x00\x00\xab\x00\x00\x00[GAGSV] Msg 1/1, Total Sats: 3\n  \xe2\x9e\xa4 PRN: 6, Elev: 75\xc2\xb0, Azim: 40\xc2\xb0, SNR: 46\n  \xe2\x9e\xa4 PRN: 9, Elev: 52\xc2\xb0, Azim: 7\xc2\xb0, SNR: 46\n  \xe2\x9e\xa4 PRN: 10, Elev: 39\xc2\xb0, Azim: 180\xc2\xb0, SNR: 45\n\x00\x00'"
61,1,1747504340546130109,"b'\x00\x01\x00\x007\x00\x00\x00[GNVTG] Track: 0.00 deg, Speed: 0.01 knots / 0.01 km/h\x00\x00'"
62,1,1747504340546264078,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000031.99\x00\x00\x00'"
63,1,1747504340546515853,b'\x00\x01\x00\x00\x1a\x00\x00\x00[GNHDT] Yaw: 0.00 degrees\x00\x00\x00'
64,1,1747504340546697010,"b'\x00\x01\x00\x00B\x00\x00\x00[PKHM] Roll:  3.678387\xc2\xb0, Pitch:  0.339760\xc2\xb0, Yaw:  0.002903*29\xc2\xb0\x00\x00\x00'"
65,1,1747504340705904732,"b'\x00\x01\x00\x00l\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592833 , Altitude: m, Satellites: , HDOP: , Fix: Bilinmeyen ()\x00'"
66,1,1747504340735268267,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000032.19, RMS: 0.00, \xcf\x83_lat: 1.11 m, \xcf\x83_lon: 1.11 m, \xcf\x83_alt: 84.74 m\x00\x00'"
67,1,1747504340735358331,"b'\x00\x01\x00\x009\x00\x00\x00[GNVTG] Track: 360.00 deg, Speed: 0.00 knots / 0.01 km/h\x00\x00\x00\x00'"
68,1,1747504340735650893,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000032.19\x00\x00\x00'"
69,1,1747504340735765701,b'\x00\x01\x00\x00\x1c\x00\x00\x00[GNHDT] Yaw: 360.00 degrees\x00'
70,1,1747504340735996192,"b'\x00\x01\x00\x00D\x00\x00\x00[PKHM] Roll:  3.683579\xc2\xb0, Pitch:  0.336520\xc2\xb0, Yaw:  359.999847*2D\xc2\xb0\x00'"
71,1,1747504340932846140,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.444m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
72,1,1747504340933144641,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000032.39, RMS: 0.00, \xcf\x83_lat: 1.01 m, \xcf\x83_lon: 1.01 m, \xcf\x83_alt: 84.77 m\x00\x00'"
73,1,1747504340933491930,"b'\x00\x01\x00\x009\x00\x00\x00[GNVTG] Track: 360.00 deg, Speed: 0.01 knots / 0.01 km/h\x00\x00\x00\x00'"
74,1,1747504340933642547,"b'\x00\x01\x00\x00*\x00\x00\x00[GNZDA] Date: 01/01/1970, Time: 000032.39\x00\x00\x00'"
75,1,1747504340933905410,b'\x00\x01\x00\x00\x1c\x00\x00\x00[GNHDT] Yaw: 360.00 degrees\x00'
76,1,1747504340934165025,"b'\x00\x01\x00\x00D\x00\x00\x00[PKHM] Roll:  3.685754\xc2\xb0, Pitch:  0.335446\xc2\xb0, Yaw:  359.999512*2B\xc2\xb0\x00'"
77,1,1747504341133743973,"b'\x00\x01\x00\x00r\x00\x00\x00[GNGGA] Latitude: 41.052277 N, Longitude: 28.592858 E, Altitude: 39.446m, Satellites: 7, HDOP: 1.33, Fix: GPS Fix\x00\x00\x00'"
78,1,1747504341133914597,"b'\x00\x01\x00\x00S\x00\x00\x00[GNGST] UTC: 000032.59, RMS: 0.00, \xcf\x83_lat: 0.93 m, \xcf\x83_lon: 0.93 m, \xcf\x83_alt: 84.79 m\x00\x00'"
79,1,1747504341134349763,"b'\x00\x01\x00\x009\x00\x00\x00[GNVTG] Track: 360.00 deg, Speed: 0.00 knots / 0.01 km/h\x00\x00\x00\x00'"
